Waypoint,lon,lat
WP000,-121.84797222222221,36.891325
WP001,-121.8629731905356,36.90472780675805
WP002,-121.86355735110506,36.90430616055509
WP003,-121.78861844495125,36.83726344310212
WP004,-121.78920209207328,36.836841792105034
WP005,-121.86420605298959,36.903837223167656
WP006,-121.86479020676995,36.903415576901395
WP007,-121.78985216943592,36.8363728501423
WP008,-121.79043580979142,36.83595119908194
WP009,-121.86543889903022,36.902946640972566
WP010,-121.86602304602181,36.90252499464298
WP011,-121.79108587746786,36.83548225857785
WP012,-121.79166951105715,36.83506060745423
WP013,-121.86667172865828,36.90205606017274
WP014,-121.86725586886139,36.90163441377986
WP015,-121.79231956904788,36.83459166840876
WP016,-121.79290319587125,36.83417001722187
WP017,-121.8679045418745,36.90116548076813
WP018,-121.86848867528944,36.90074383431194
WP019,-121.7935532441767,36.83370107963497
WP020,-121.79413686423447,36.833279428384834
WP021,-121.86913733867962,36.90027490275871
WP022,-121.86972146530671,36.89985325623922
WP023,-121.7947869028551,36.83281049225647
WP024,-121.79537051614759,36.83238884094306
WP025,-121.87037011907444,36.89938432614444
WP026,-121.870954238914,36.898962679561635
WP027,-121.79602054508385,36.8319199062732
WP028,-121.79660415161135,36.83149825489654
WP029,-121.87160288305971,36.898493750925304
WP030,-121.87218699611202,36.8980721042792
WP031,-121.79725417086368,36.83102932168518
WP032,-121.79783777062651,36.83060767024525
WP033,-121.87283563063616,36.89760317710126
WP034,-121.87341973690155,36.897181530391855
WP035,-121.79848778019536,36.8301387384923
WP036,-121.79907137319381,36.82971708698911
WP037,-121.87406836180453,36.89671260467225
WP038,-121.8746524612833,36.896290957899545
WP039,-121.7997213730796,36.82924815669456
WP040,-121.80030495931402,36.82882650512811
WP041,-121.87530107656559,36.895822033638254
WP042,-121.87588516925808,36.89540038680224
WP043,-121.80095494951725,36.82835757629192
WP044,-121.8015385289879,36.82793592466222
WP045,-121.87653377492012,36.89493146399923
WP046,-121.8771178608266,36.89450981709991
WP047,-121.80218850950898,36.82746699728435
WP048,-121.8027720822162,36.82704534559138
WP049,-121.87776645686884,36.89404089575514
WP050,-121.87835053598964,36.89361924879252
WP051,-121.80342205305557,36.826576419671795
WP052,-121.80400561899967,36.826154767915575
WP053,-121.87899912241252,36.89315032890596
WP054,-121.87958319474795,36.89272868188006
WP055,-121.80465558015781,36.82568584345426
WP056,-121.80523913933908,36.82526419163477
WP057,-121.88023177155192,36.892259763451655
WP058,-121.88081583710228,36.89183811636245
WP059,-121.80588909081641,36.82479526863166
WP060,-121.80647264323517,36.82437361674893
WP061,-121.88146440428777,36.89136919939219
WP062,-121.88204846305337,36.89094755223968
